id,normalizacion,protocolo,pliegue,indice_pliegue,modelo,semilla,accuracy,balanced_accuracy,f1_macro,accuracy_espejado,accuracy_val,n_train,n_val,n_test,tiempo_entrenamiento_s,tiempo_prediccion_test_s,epocas,mejor_epoca,dispositivo
41,muneca_escala_rot,lopo,p1,0,mlp,0,0.9248251748251748,0.9244572194128091,0.9249071334441533,0.9405594405594405,0.9439775910364145,8008,357,572,91.50611910002772,0.0033404999994672835,23.0,3.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
42,muneca_escala_rot,lopo,p1,0,svm,0,0.9195804195804196,0.9191395063888509,0.9195945236438964,0.9318181818181818,0.9523809523809523,8008,357,572,1.403817699989304,0.043303699989337474,,,cpu
43,muneca_escala_rot,lopo,p1,0,logreg,0,0.8811188811188811,0.8795456557805886,0.8802897433796772,0.8916083916083916,0.9299719887955182,8008,357,572,0.2459540000418201,0.0005522000137716532,,,cpu
44,muneca_escala_rot,lopo,p2,1,cnn_baseline,0,0.9606837606837607,0.9598984721990566,0.9601938267146322,0.976068376068376,0.96045197740113,7968,354,585,128.05167690000962,0.007567799999378622,29.0,9.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
45,muneca_escala_rot,lopo,p2,1,mlp,0,0.9777777777777777,0.9770854252421074,0.977342213994162,0.976068376068376,0.9661016949152542,7968,354,585,131.40011620003497,0.003767399990465492,33.0,13.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
46,muneca_escala_rot,lopo,p2,1,svm,0,0.9521367521367521,0.950981911443216,0.9513840399993326,0.947008547008547,0.943502824858757,7968,354,585,1.4803314000018872,0.04846040002303198,,,cpu
47,muneca_escala_rot,lopo,p2,1,logreg,0,0.8905982905982905,0.8900474141613862,0.8888007215950361,0.8427350427350427,0.9011299435028248,7968,354,585,0.23600039997836575,0.0006850999779999256,,,cpu
48,muneca_escala_rot,lopo,p3,2,cnn_baseline,0,0.9812925170068028,0.9812560346433691,0.9812349124813965,0.9829931972789115,0.9575070821529745,7960,353,588,128.93764070002362,0.011027300031855702,29.0,9.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
49,muneca_escala_rot,lopo,p3,2,mlp,0,0.9744897959183674,0.9744178937846096,0.9744121095552792,0.9727891156462585,0.9575070821529745,7960,353,588,154.29931490001036,0.003310200001578778,39.0,19.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
50,muneca_escala_rot,lopo,p3,2,svm,0,0.967687074829932,0.9675965879426851,0.9675208282370401,0.9710884353741497,0.9518413597733711,7960,353,588,1.6732192999916151,0.05349210003623739,,,cpu
51,muneca_escala_rot,lopo,p3,2,logreg,0,0.9574829931972789,0.957235763200417,0.9575249513303664,0.9370748299319728,0.8980169971671388,7960,353,588,0.29597520001698285,0.00047930004075169563,,,cpu
52,muneca_escala_rot,lopo,p4,3,cnn_baseline,0,0.9816360601001669,0.9816161616161617,0.9814935664977483,0.9766277128547579,0.9546742209631728,7916,353,599,120.19402409996837,0.005502799991518259,27.0,7.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
53,muneca_escala_rot,lopo,p4,3,mlp,0,0.9799666110183639,0.9799831649831648,0.9798213527919447,0.9782971619365609,0.9603399433427762,7916,353,599,107.88611159997527,0.0035826999810524285,27.0,7.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
54,muneca_escala_rot,lopo,p4,3,svm,0,0.9816360601001669,0.9816498316498317,0.9816360793052227,0.9766277128547579,0.9490084985835694,7916,353,599,1.3334753999952227,0.036485399992670864,,,cpu
55,muneca_escala_rot,lopo,p4,3,logreg,0,0.8898163606010017,0.8896127946127946,0.8897023951331557,0.8747913188647746,0.8951841359773371,7916,353,599,0.3068525999551639,0.0004914000164717436,,,cpu
56,muneca_escala_rot,lopo,p5,4,cnn_baseline,0,0.9250425894378195,0.9223111262437106,0.9228276131806114,0.9335604770017035,0.9746478873239437,7956,355,587,96.9058199999854,0.005146799958311021,22.0,2.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
57,muneca_escala_rot,lopo,p5,4,mlp,0,0.9301533219761499,0.929597851170885,0.9285577408664248,0.938671209540034,0.9774647887323944,7956,355,587,111.63806789997034,0.003707900003064424,28.0,8.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
58,muneca_escala_rot,lopo,p5,4,svm,0,0.919931856899489,0.9192363712026633,0.9191821604005966,0.919931856899489,0.9830985915492958,7956,355,587,1.2773407000349835,0.02904420002596453,,,cpu
