VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,01/01/2020 12:46:10 AM,01/01/2020 01:09:35 AM,1,10.91,4,N,132,265,1,45.5,0.5,0.5,9.36,0,0.3,56.16,0
1,01/01/2020 12:16:35 AM,01/01/2020 12:28:36 AM,1,1.9,1,N,68,144,2,9.5,3,0.5,0,0,0.3,13.3,2.5
1,01/01/2020 12:32:03 AM,01/01/2020 12:43:57 AM,2,2.8,1,N,148,256,1,11.5,3,0.5,4.55,0,0.3,19.85,2.5
1,01/01/2020 12:51:19 AM,01/01/2020 01:05:10 AM,1,1.5,1,N,256,225,1,10,0.5,0.5,2.8,0,0.3,14.1,0
1,01/01/2020 12:31:48 AM,01/01/2020 01:09:59 AM,1,5.6,1,N,114,239,1,26,3,0.5,5.95,0,0.3,35.75,2.5
2,01/01/2020 12:26:58 AM,01/01/2020 12:38:12 AM,2,1.63,1,N,90,246,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5
2,01/01/2020 12:42:05 AM,01/01/2020 12:46:30 AM,2,0.36,1,N,48,50,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,01/01/2020 12:17:34 AM,01/01/2020 12:23:09 AM,4,1.34,1,N,238,151,1,6.5,0.5,0.5,2.58,0,0.3,12.88,2.5
2,01/01/2020 12:28:32 AM,01/01/2020 12:45:33 AM,3,3.5,1,N,238,229,1,14.5,0.5,0.5,3.66,0,0.3,21.96,2.5
1,01/01/2020 12:15:58 AM,01/01/2020 12:26:37 AM,1,4.3,1,N,132,10,1,14.5,0.5,0.5,3.95,0,0.3,19.75,0
1,01/01/2020 12:48:50 AM,01/01/2020 12:59:24 AM,2,4,1,N,132,218,2,13.5,0.5,0.5,0,0,0.3,14.8,0
1,01/01/2020 12:20:29 AM,01/01/2020 12:49:26 AM,1,1.9,1,N,43,186,2,17.5,3,0.5,0,0,0.3,21.3,2.5
1,01/01/2020 12:53:44 AM,01/01/2020 01:25:18 AM,1,6.1,1,N,90,112,1,24,3,0.5,5.55,0,0.3,33.35,2.5
2,01/01/2020 12:18:15 AM,01/01/2020 12:23:56 AM,1,1.17,1,N,238,41,2,6,0.5,0.5,0,0,0.3,7.3,0
2,01/01/2020 12:27:47 AM,01/01/2020 12:37:35 AM,1,1.96,1,N,151,74,2,9.5,0.5,0.5,0,0,0.3,10.8,0
2,01/01/2020 12:42:25 AM,01/01/2020 12:53:34 AM,1,2.36,1,N,41,116,2,10,0.5,0.5,0,0,0.3,11.3,0
